origin,destination,count
SGN,HAN,1010
HAN,SGN,1008
HAN,DAD,934
DAD,HAN,882
DAD,SGN,730
SGN,DAD,681
PQC,SGN,337
SGN,PQC,335
CXR,HAN,328
HAN,CXR,317
HPH,SGN,243
SGN,VII,228
VII,SGN,217
SGN,HUI,213
SGN,CXR,209
CXR,SGN,203
SGN,HPH,199
VCS,SGN,192
HUI,SGN,183
SGN,VCS,181
PQC,HAN,153
HAN,PQC,151
DLI,HAN,144
UIH,SGN,139
HAN,DLI,137
UIH,HAN,101
VCA,HAN,99
HAN,VCA,98
HAN,HUI,86
HUI,HAN,86
DLI,SGN,85
SGN,DLI,78
THD,SGN,76
HAN,BMV,73
SGN,THD,72
VCL,SGN,66
BMV,HAN,62
SGN,VCL,61
BMV,SGN,60
SGN,BMV,60
HAN,PXU,45
VDH,SGN,44
PXU,SGN,44
PXU,HAN,42
SGN,VDH,41
DAD,HPH,40
HPH,DAD,40
DAD,VCA,40
VCA,DAD,38
SGN,PXU,37
VII,HAN,35
HAN,VII,34
CXR,HPH,28
HPH,CXR,28
HAN,DIN,22
DIN,HAN,21
TBB,HAN,21
BMV,VII,20
DLI,VII,20
VII,BMV,20
HAN,TBB,20
VII,DLI,20
TBB,SGN,19
VDH,HAN,19
SGN,TBB,19
VCL,HAN,18
HAN,VDH,18
HPH,DLI,18
HAN,VCL,18
DLI,HPH,18
VCS,VCA,14
SGN,CAH,14
VCA,VCS,14
CAH,SGN,14
SGN,VDO,13
VDO,SGN,13
HPH,PQC,12
PQC,HPH,12
CXR,VII,12
VII,CXR,12
VII,VCA,12
VCA,VII,12
SGN,DIN,11
DIN,SGN,11
BMV,HPH,10
HPH,BMV,10
CXR,THD,8
VCA,HPH,8
HPH,VCA,8
DAD,DLI,8
THD,CXR,8
DLI,DAD,8
SGN,VKG,5
VKG,SGN,4
